year,global_avg,Riyadh_avg,Global_SMA10,Riyadh_SMA10,Global_SMA25,Riyadh_SMA25,,,,,,,,,,,,,
1848,7.98,24.56,,,,,,,,,,,,,,,,,
1849,7.98,24.8,,,,,,,,,,,,,,,,,
1850,7.9,24.34,,,,,,,,,,,,,,,,,
1851,8.18,25.03,,,,,,,,,,,,,,,,,
1852,8.1,24.85,,,,,,,,,,,,,,,,,
1853,8.04,24.93,,,,,,,,,,,,,,,,,
1854,8.21,24.72,,,,,,,,25 period,,,,,,,,10 period,
1855,8.11,24.92,,,,,,,,,,,,,,,,,
1856,8,24.57,,,,,,,,,,,,,,,,,
1857,7.76,24.26,8.03,24.70,,,,,,,,,,,,,,,
1858,8.1,25.01,8.04,24.74,,,,,,,,,,,,,,,
1859,8.25,24.95,8.07,24.76,,,,,,,,,,,,,,,
1860,7.96,24.94,8.07,24.82,,,,,,,,,,,,,,,
1861,7.85,24.13,8.04,24.73,,,,,,,,,,,,,,,
1862,7.56,23.77,7.98,24.62,,,,,,,,,,,,,,,
1863,8.11,24.28,7.99,24.56,,,,,,,,,,,,,,,
1864,7.98,25.03,7.97,24.59,,,,,,,,,,,,,,,
1865,8.18,25.23,7.98,24.62,,,,,,,,,,,,,,,
1866,8.29,24.92,8.00,24.65,,,,,,,,,,,,,,,
1867,8.44,25.22,8.07,24.75,,,,,,,,,,,,,,,
1868,8.25,25,8.09,24.75,,,,,,,,,,,,,,,
1869,8.43,25.3,8.11,24.78,,,,,,,,,,,,,,,
1870,8.2,25.02,8.13,24.79,,,,,,,,,,,,,,,
1871,8.12,24.73,8.16,24.85,,,,,,,,,,,,,,,
1872,8.19,24.87,8.22,24.96,8.09,24.78,,,,,,,,,,,,,
1873,8.35,25.24,8.24,25.06,8.10,24.80,,,,,,,,,,,,,
1874,8.43,24.98,8.29,25.05,8.12,24.81,,,,,,,,,,,,,
1875,7.86,24.43,8.26,24.97,8.12,24.81,,,,,,,,,,,,,
1876,8.08,24.89,8.24,24.97,8.11,24.81,,,,,,,,,,,,,
1877,8.54,25.47,8.25,24.99,8.13,24.83,,,,,,,,,,,,,
1878,8.83,25.51,8.30,25.04,8.16,24.86,,,,,,,,,,,,,
1879,8.17,25.24,8.28,25.04,8.16,24.88,,,,,,,,,,,,,
1880,8.12,24.8,8.27,25.02,8.16,24.87,,,,,,,,,,,,,
1881,8.27,25.63,8.28,25.11,8.17,24.91,,,,,,,,,,,,,
1882,8.13,24.66,8.28,25.09,8.19,24.93,,,,,,,,,,,,,
1883,7.98,25.19,8.24,25.08,8.18,24.94,,,,,,,,,,,,,
1884,7.77,24.8,8.18,25.06,8.16,24.93,,,,,,,,,,,,,
1885,7.92,24.98,8.18,25.12,8.16,24.93,,,,,,,,,,,,,
1886,7.95,24.98,8.17,25.13,8.17,24.97,,,,,,,,,,,,,
1887,7.91,24.81,8.11,25.06,8.18,25.01,,,,,,,,,,,,,
1888,8.09,25.13,8.03,25.02,8.18,25.04,,,,,,,,,,,,,
1889,8.32,25.52,8.05,25.05,8.19,25.06,,,,,,,,,,,,,
1890,7.97,25.07,8.03,25.08,8.18,25.06,,,,,,,,,,,,,
1891,8.02,25.39,8.01,25.05,8.17,25.07,,,,,,,,,,,,,
1892,8.07,25.22,8.00,25.11,8.16,25.07,,,,,,,,,,,,,
1893,8.06,25.19,8.01,25.11,8.15,25.08,,,,,,,,,,,,,
1894,8.16,24.66,8.05,25.10,8.14,25.06,,,,,,,,,,,,,
1895,8.15,24.69,8.07,25.07,8.14,25.04,,,,,,,,,,,,,
1896,8.21,24.88,8.10,25.06,8.14,25.05,,,,,,,,,,,,,
1897,8.29,24.86,8.13,25.06,8.15,25.05,,,,,,,,,,,,,
1898,8.18,24.88,8.14,25.04,8.14,25.03,,,,,,,,,,,,,
1899,8.4,25.12,8.15,25.00,8.14,25.04,,,,,,,,,,,,,
1900,8.5,25.29,8.20,25.02,8.16,25.07,,,,,,,,,,,,,
1901,8.54,25.55,8.26,25.03,8.18,25.10,,,,,,,,,,,,,
1902,8.3,25.25,8.28,25.04,8.17,25.09,,,,,,,,,,,,,
1903,8.22,24.64,8.30,24.98,8.15,25.06,,,,,,,,,,,,,
1904,8.09,25.07,8.29,25.02,8.14,25.05,,,,,,,,,,,,,
1905,8.23,24.87,8.30,25.04,8.15,25.05,,,,,,,,,,,,,
1906,8.38,24.85,8.31,25.04,8.15,25.02,,,,,,,,,,,,,
1907,7.95,24.44,8.28,25.00,8.15,25.01,,,,,,,,,,,,,
1908,8.19,24.95,8.28,25.00,8.15,25.00,,,,,,,,,,,,,
1909,8.18,25.57,8.26,25.05,8.17,25.03,,,,,,,,,,,,,
1910,8.22,24.75,8.23,24.99,8.18,25.03,,,,,,,,,,,,,
1911,8.18,24.24,8.19,24.86,8.19,25.00,,,,,,,,,,,,,
1912,8.17,24.96,8.18,24.83,8.20,25.00,,,,,,,,,,,,,
1913,8.3,24.63,8.19,24.83,8.21,24.98,,,,,,,,,,,,,
1914,8.59,24.94,8.24,24.82,8.22,24.96,,,,,,,,,,,,,
1915,8.59,25.38,8.28,24.87,8.25,24.97,,,,,,,,,,,,,
1916,8.23,24.85,8.26,24.87,8.26,24.95,,,,,,,,,,,,,
1917,8.02,25.03,8.27,24.93,8.25,24.94,,,,,,,,,,,,,
1918,8.13,24.66,8.26,24.90,8.26,24.92,,,,,,,,,,,,,
1919,8.38,25.39,8.28,24.88,8.26,24.95,,,,,,,,,,,,,
1920,8.36,24.94,8.30,24.90,8.27,24.96,,,,,,,,,,,,,
1921,8.57,24.84,8.33,24.96,8.29,24.96,,,,,,,,,,,,,
1922,8.41,25.35,8.36,25.00,8.29,24.98,,,,,,,,,,,,,
1923,8.42,25.1,8.37,25.05,8.30,24.99,,,,,,,,,,,,,
1924,8.51,25.69,8.36,25.12,8.31,25.01,,,,,,,,,,,,,
1925,8.53,25,8.36,25.09,8.31,25.00,,,,,,,,,,,,,
1926,8.73,25.19,8.41,25.12,8.32,24.98,,,,,,,,,,,,,
1927,8.52,25.29,8.46,25.15,8.32,24.98,,,,,,,,,,,,,
1928,8.63,25.39,8.51,25.22,8.34,25.01,,,,,,,,,,,,,
1929,8.24,25.36,8.49,25.22,8.35,25.03,,,,,,,,,,,,,
1930,8.63,25.39,8.52,25.26,8.36,25.05,,,,,,,,,,,,,
1931,8.72,25.38,8.53,25.31,8.38,25.07,,,,,,,,,,,,,
1932,8.71,24.96,8.56,25.28,8.41,25.09,,,,,,,,,,,,,
1933,8.34,24.67,8.56,25.23,8.41,25.08,,,,,,,,,,,,,
1934,8.63,24.97,8.57,25.16,8.43,25.05,,,,,,,,,,,,,
1935,8.52,25.61,8.57,25.22,8.44,25.09,,,,,,,,,,,,,
1936,8.55,25.15,8.55,25.22,8.46,25.12,,,,,,,,,,,,,
1937,8.7,25.08,8.57,25.20,8.48,25.13,,,,,,,,,,,,,
1938,8.86,25.11,8.59,25.17,8.50,25.15,,,,,,,,,,,,,
1939,8.76,25.16,8.64,25.15,8.51,25.16,,,,,,,,,,,,,
1940,8.76,25.51,8.66,25.16,8.51,25.16,,,,,,,,,,,,,
1941,8.77,25.37,8.66,25.16,8.54,25.18,,,,,,,,,,,,,
1942,8.73,25.49,8.66,25.21,8.56,25.20,,,,,,,,,,,,,
1943,8.76,24.96,8.70,25.24,8.59,25.21,,,,,,,,,,,,,
1944,8.85,25.6,8.73,25.30,8.61,25.22,,,,,,,,,,,,,
1945,8.58,25.3,8.73,25.27,8.62,25.24,,,,,,,,,,,,,
1946,8.68,25.49,8.75,25.31,8.62,25.26,,,,,,,,,,,,,
1947,8.8,26,8.76,25.40,8.64,25.29,,,,,,,,,,,,,
1948,8.75,24.85,8.74,25.37,8.65,25.28,,,,,,,,,,,,,
1949,8.59,24.82,8.73,25.34,8.65,25.24,,,,,,,,,,,,,
1950,8.37,24.98,8.69,25.29,8.65,25.24,,,,,,,,,,,,,
1951,8.63,26.1,8.67,25.36,8.64,25.28,,,,,,,,,,,,,
1952,8.64,25.72,8.67,25.38,8.65,25.30,,,,,,,,,,,,,
1953,8.87,25.51,8.68,25.44,8.66,25.30,,,,,,,,,,,,,
1954,8.56,25.8,8.65,25.46,8.67,25.32,,,,,,,,,,,,,
1955,8.63,25.33,8.65,25.46,8.67,25.32,,,,,,,,,,,,,
1956,8.28,25.02,8.61,25.41,8.65,25.30,,,,,,,,,,,,,
1957,8.73,24.69,8.61,25.28,8.65,25.29,,,,,,,,,,,,,
1958,8.77,25.64,8.61,25.36,8.67,25.33,,,,,,,,,,,,,
1959,8.73,24.14,8.62,25.29,8.67,25.30,,,,,,,,,,,,,
1960,8.58,25.67,8.64,25.36,8.68,25.30,,,,,,,,,,,,,
1961,8.8,25.12,8.66,25.26,8.69,25.30,,,,,,,,,,,,,
1962,8.75,26.1,8.67,25.30,8.69,25.34,,,,,,,,,,,,,
1963,8.86,25.54,8.67,25.31,8.69,25.36,,,,,,,,,,,,,
1964,8.41,25.14,8.65,25.24,8.68,25.36,,,,,,,,,,,,,
1965,8.53,25.59,8.64,25.27,8.67,25.36,,,,,,,,,,,,,
1966,8.6,26.16,8.68,25.38,8.66,25.39,,,,,,,,,,,,,
1967,8.7,24.87,8.67,25.40,8.66,25.37,,,,,,,,,,,,,
1968,8.52,25.21,8.65,25.35,8.65,25.38,,,,,,,,,,,,,
